JPM,,,GS,,,MS,,,C,,,BAC,,,WFC,
Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:
9/25/2020,93.47,,9/25/2020,194.95,,9/25/2020,47.04,,9/25/2020,42.02,,9/25/2020,23.49,,9/25/2020,23.64
9/28/2020,96.16,,9/28/2020,199.07,,9/28/2020,48.38,,9/28/2020,43.34,,9/28/2020,24.09,,9/28/2020,23.82
9/29/2020,95.35,,9/29/2020,196.79,,9/29/2020,47.24,,9/29/2020,42.42,,9/29/2020,23.77,,9/29/2020,23.26
9/30/2020,96.27,,9/30/2020,200.97,,9/30/2020,48.35,,9/30/2020,43.11,,9/30/2020,24.09,,9/30/2020,23.51
10/01/2020,96.97,,10/01/2020,198.55,,10/01/2020,47.26,,10/01/2020,43.44,,10/01/2020,24.1,,10/01/2020,23.56
10/02/2020,97.89,,10/02/2020,199.9,,10/02/2020,47.97,,10/02/2020,43.66,,10/02/2020,24.21,,10/02/2020,23.99
10/05/2020,99.04,,10/05/2020,201.8,,10/05/2020,48.6,,10/05/2020,44.91,,10/05/2020,24.62,,10/05/2020,24.45
10/06/2020,98.02,,10/06/2020,201.09,,10/06/2020,47.74,,10/06/2020,44.41,,10/06/2020,24.37,,10/06/2020,24.18
10/07/2020,99.73,,10/07/2020,203.6,,10/07/2020,48.71,,10/07/2020,44.84,,10/07/2020,24.88,,10/07/2020,24.81
10/08/2020,101.78,,10/08/2020,207.98,,10/08/2020,49,,10/08/2020,44.72,,10/08/2020,25.24,,10/08/2020,25.3
10/09/2020,101.2,,10/09/2020,207.54,,10/09/2020,48.83,,10/09/2020,44.93,,10/09/2020,25.36,,10/09/2020,25.3
10/12/2020,102.44,,10/12/2020,214.12,,10/12/2020,50.74,,10/12/2020,45.88,,10/12/2020,25.68,,10/12/2020,25.68
10/13/2020,100.78,,10/13/2020,210.81,,10/13/2020,50.44,,10/13/2020,43.68,,10/13/2020,24.95,,10/13/2020,24.74
10/14/2020,100.22,,10/14/2020,211.23,,10/14/2020,50.65,,10/14/2020,43.03,,10/14/2020,23.62,,10/14/2020,23.25
10/15/2020,101.72,,10/15/2020,208.6,,10/15/2020,51.33,,10/15/2020,43.61,,10/15/2020,24.15,,10/15/2020,22.95
10/16/2020,101.51,,10/16/2020,206.21,,10/16/2020,51.85,,10/16/2020,43.19,,10/16/2020,24.24,,10/16/2020,22.86
10/19/2020,99.8,,10/19/2020,205.69,,10/19/2020,50.95,,10/19/2020,42.9,,10/19/2020,23.72,,10/19/2020,22.54
10/20/2020,100.37,,10/20/2020,208.03,,10/20/2020,51.47,,10/20/2020,43.52,,10/20/2020,24.14,,10/20/2020,22.81
10/21/2020,99.37,,10/21/2020,202.91,,10/21/2020,50.38,,10/21/2020,43.01,,10/21/2020,24.05,,10/21/2020,22.7
10/22/2020,102.88,,10/22/2020,205.4,,10/22/2020,51.77,,10/22/2020,43.95,,10/22/2020,24.87,,10/22/2020,23.25
10/23/2020,103.81,,10/23/2020,205.04,,10/23/2020,51.87,,10/23/2020,43.95,,10/23/2020,24.9,,10/23/2020,23.28
10/26/2020,101.24,,10/26/2020,201.14,,10/26/2020,50.32,,10/26/2020,43.26,,10/26/2020,24.54,,10/26/2020,22.7
10/27/2020,99.33,,10/27/2020,195.68,,10/27/2020,48.59,,10/27/2020,41.88,,10/27/2020,23.85,,10/27/2020,21.82
10/28/2020,96.54,,10/28/2020,189.77,,10/28/2020,47.57,,10/28/2020,41.13,,10/28/2020,23.47,,10/28/2020,21.18
10/29/2020,97.17,,10/29/2020,189.94,,10/29/2020,48.12,,10/29/2020,41.66,,10/29/2020,23.54,,10/29/2020,21.14
10/30/2020,98.04,,10/30/2020,189.04,,10/30/2020,48.15,,10/30/2020,41.42,,10/30/2020,23.7,,10/30/2020,21.45
11/02/2020,100.25,,11/02/2020,190.2,,11/02/2020,49.38,,11/02/2020,42.21,,11/02/2020,24.08,,11/02/2020,21.9
11/03/2020,103.41,,11/03/2020,197.93,,11/03/2020,51.18,,11/03/2020,43.53,,11/03/2020,24.69,,11/03/2020,22.09
11/04/2020,100.25,,11/04/2020,197.87,,11/04/2020,51.43,,11/04/2020,42.08,,11/04/2020,23.68,,11/04/2020,21.88
11/05/2020,104.35,,11/05/2020,202.96,,11/05/2020,52.2,,11/05/2020,43.07,,11/05/2020,24.61,,11/05/2020,22.33
11/06/2020,102.96,,11/06/2020,201.26,,11/06/2020,51.7,,11/06/2020,42.71,,11/06/2020,24.31,,11/06/2020,21.91
11/09/2020,116.9,,11/09/2020,214.93,,11/09/2020,56.02,,11/09/2020,47.64,,11/09/2020,27.76,,11/09/2020,24.22
11/10/2020,116.52,,11/10/2020,217.47,,11/10/2020,55.75,,11/10/2020,47.65,,11/10/2020,27.66,,11/10/2020,24.19
11/11/2020,114.78,,11/11/2020,218.05,,11/11/2020,56.34,,11/11/2020,48.93,,11/11/2020,27.34,,11/11/2020,24.19
11/12/2020,113.37,,11/12/2020,214.51,,11/12/2020,55.55,,11/12/2020,48.28,,11/12/2020,26.69,,11/12/2020,23.81
11/13/2020,114.08,,11/13/2020,219.08,,11/13/2020,56.61,,11/13/2020,48.66,,11/13/2020,27,,11/13/2020,24.07
11/16/2020,117.3,,11/16/2020,222.38,,11/16/2020,58.11,,11/16/2020,50.4,,11/16/2020,27.58,,11/16/2020,24.9
11/17/2020,116.11,,11/17/2020,224.65,,11/17/2020,58.81,,11/17/2020,50.73,,11/17/2020,27.55,,11/17/2020,25.04
11/18/2020,115.25,,11/18/2020,224.3,,11/18/2020,58.81,,11/18/2020,51.05,,11/18/2020,26.98,,11/18/2020,25.06
11/19/2020,115.56,,11/19/2020,224.57,,11/19/2020,58.63,,11/19/2020,52.14,,11/19/2020,26.98,,11/19/2020,26.16
11/20/2020,114.57,,11/20/2020,223.35,,11/20/2020,57.81,,11/20/2020,51.65,,11/20/2020,26.81,,11/20/2020,25.48
11/23/2020,117.87,,11/23/2020,228.83,,11/23/2020,60.27,,11/23/2020,53.3,,11/23/2020,27.39,,11/23/2020,26.3
11/24/2020,123.32,,11/24/2020,237.5,,11/24/2020,63.6,,11/24/2020,57.06,,11/24/2020,28.98,,11/24/2020,28.61
11/25/2020,122.03,,11/25/2020,236.54,,11/25/2020,63.48,,11/25/2020,57.06,,11/25/2020,29.03,,11/25/2020,28.59
11/27/2020,121.22,,11/27/2020,235.4,,11/27/2020,63.84,,11/27/2020,56.67,,11/27/2020,28.99,,11/27/2020,28.46
11/30/2020,117.88,,11/30/2020,230.58,,11/30/2020,61.83,,11/30/2020,55.07,,11/30/2020,28.16,,11/30/2020,27.35
12/01/2020,119.74,,12/01/2020,232.08,,12/01/2020,63.28,,12/01/2020,55.47,,12/01/2020,28.69,,12/01/2020,28.06
12/02/2020,122.04,,12/02/2020,237.65,,12/02/2020,64.02,,12/02/2020,57.2,,12/02/2020,29.06,,12/02/2020,28.87
12/03/2020,121.24,,12/03/2020,235.47,,12/03/2020,64.06,,12/03/2020,56.58,,12/03/2020,28.91,,12/03/2020,29.16
12/04/2020,122.34,,12/04/2020,239.58,,12/04/2020,65,,12/04/2020,58.62,,12/04/2020,29.29,,12/04/2020,29.55
12/07/2020,121.88,,12/07/2020,238.45,,12/07/2020,64.26,,12/07/2020,58.13,,12/07/2020,29.09,,12/07/2020,29.34
12/08/2020,122,,12/08/2020,238.84,,12/08/2020,63.91,,12/08/2020,58.36,,12/08/2020,28.93,,12/08/2020,28.94
12/09/2020,121.05,,12/09/2020,242.82,,12/09/2020,64.37,,12/09/2020,58.95,,12/09/2020,28.8,,12/09/2020,29.05
12/10/2020,120.27,,12/10/2020,244.4,,12/10/2020,64.44,,12/10/2020,60.5,,12/10/2020,29.11,,12/10/2020,29.49
12/11/2020,119.56,,12/11/2020,239.99,,12/11/2020,63.32,,12/11/2020,58.93,,12/11/2020,28.57,,12/11/2020,29.08
12/14/2020,118.3,,12/14/2020,237.79,,12/14/2020,61.88,,12/14/2020,58.74,,12/14/2020,28.22,,12/14/2020,28.64
12/15/2020,120.32,,12/15/2020,242.43,,12/15/2020,63.95,,12/15/2020,59.67,,12/15/2020,28.64,,12/15/2020,29.73
12/16/2020,120.67,,12/16/2020,243.77,,12/16/2020,64.23,,12/16/2020,59.75,,12/16/2020,28.72,,12/16/2020,29.65
12/17/2020,119.67,,12/17/2020,244.43,,12/17/2020,64.67,,12/17/2020,60.05,,12/17/2020,28.83,,12/17/2020,29.47
12/18/2020,119.08,,12/18/2020,242.13,,12/18/2020,64.18,,12/18/2020,59.06,,12/18/2020,28.67,,12/18/2020,29.01
12/21/2020,123.55,,12/21/2020,256.98,,12/21/2020,67.83,,12/21/2020,61.23,,12/21/2020,29.74,,12/21/2020,29.55
12/22/2020,121.67,,12/22/2020,250.09,,12/22/2020,66.64,,12/22/2020,59.26,,12/22/2020,29.21,,12/22/2020,28.96
12/23/2020,125.07,,12/23/2020,256.45,,12/23/2020,68.21,,12/23/2020,60.78,,12/23/2020,30.05,,12/23/2020,30.35
12/24/2020,124.52,,12/24/2020,256.16,,12/24/2020,68.09,,12/24/2020,60.57,,12/24/2020,29.96,,12/24/2020,29.84
12/28/2020,125.34,,12/28/2020,259.59,,12/28/2020,68.05,,12/28/2020,61.13,,12/28/2020,30.13,,12/28/2020,29.93
12/29/2020,125.01,,12/29/2020,258.01,,12/29/2020,67.71,,12/29/2020,60.91,,12/29/2020,30.01,,12/29/2020,29.78
12/30/2020,125.36,,12/30/2020,259.45,,12/30/2020,67.84,,12/30/2020,60.86,,12/30/2020,29.98,,12/30/2020,29.75
12/31/2020,127.07,,12/31/2020,263.71,,12/31/2020,68.53,,12/31/2020,61.66,,12/31/2020,30.31,,12/31/2020,30.18
01/04/2021,125.87,,01/04/2021,265,,01/04/2021,68.33,,01/04/2021,60.14,,01/04/2021,30.03,,01/04/2021,29.7
01/05/2021,125.65,,01/05/2021,270.93,,01/05/2021,69.49,,01/05/2021,61.7,,01/05/2021,30.26,,01/05/2021,30.53
01/06/2021,131.55,,01/06/2021,285.55,,01/06/2021,73.68,,01/06/2021,65.25,,01/06/2021,32.15,,01/06/2021,32.69
01/07/2021,135.87,,01/07/2021,291.65,,01/07/2021,74.94,,01/07/2021,66.02,,01/07/2021,32.86,,01/07/2021,33.43
01/08/2021,136.02,,01/08/2021,290.08,,01/08/2021,75.25,,01/08/2021,65.37,,01/08/2021,32.53,,01/08/2021,33.19
01/11/2021,138.05,,01/11/2021,293.83,,01/11/2021,76.06,,01/11/2021,66.44,,01/11/2021,33.07,,01/11/2021,33.24
01/12/2021,140.22,,01/12/2021,302.21,,01/12/2021,75.8,,01/12/2021,66.67,,01/12/2021,33.66,,01/12/2021,33.94
1/13/2021,140.35,,1/13/2021,302.94,,1/13/2021,75.56,,1/13/2021,66.86,,1/13/2021,33.46,,1/13/2021,33.8
1/14/2021,141.17,,1/14/2021,307.87,,1/14/2021,76.47,,1/14/2021,69.01,,1/14/2021,33.99,,1/14/2021,34.75
1/15/2021,138.64,,1/15/2021,301.01,,1/15/2021,75.24,,1/15/2021,64.23,,1/15/2021,33.01,,1/15/2021,32.04
1/19/2021,138.04,,1/19/2021,294.2,,1/19/2021,74.99,,1/19/2021,63.69,,1/19/2021,32.77,,1/19/2021,32.63
1/20/2021,135.97,,1/20/2021,290.47,,1/20/2021,74.84,,1/20/2021,63.25,,1/20/2021,32.34,,1/20/2021,32.46
1/21/2021,134.83,,1/21/2021,289.37,,1/21/2021,74.7,,1/21/2021,61.87,,1/21/2021,31.77,,1/21/2021,32
1/22/2021,133.79,,1/22/2021,289.39,,1/22/2021,74.13,,1/22/2021,61.33,,1/22/2021,31.55,,1/22/2021,31.9
1/25/2021,132.12,,1/25/2021,283.04,,1/25/2021,72.38,,1/25/2021,60.56,,1/25/2021,31.16,,1/25/2021,32.24
1/26/2021,131.58,,1/26/2021,281.76,,1/26/2021,71.21,,1/26/2021,60.91,,1/26/2021,30.94,,1/26/2021,31.38
1/27/2021,127.86,,1/27/2021,273.33,,1/27/2021,68.42,,1/27/2021,59.4,,1/27/2021,29.83,,1/27/2021,30.17
1/28/2021,130.11,,1/28/2021,275.02,,1/28/2021,69.32,,1/28/2021,60.34,,1/28/2021,30.32,,1/28/2021,30.81
1/29/2021,128.67,,1/29/2021,271.17,,1/29/2021,67.05,,1/29/2021,57.99,,1/29/2021,29.65,,1/29/2021,29.88
02/01/2021,129.62,,02/01/2021,274.73,,02/01/2021,67.67,,02/01/2021,58.43,,02/01/2021,29.96,,02/01/2021,29.99
02/02/2021,133.61,,02/02/2021,286.97,,02/02/2021,70.95,,02/02/2021,59.58,,02/02/2021,31.03,,02/02/2021,30.75
02/03/2021,135.14,,02/03/2021,288.55,,02/03/2021,70.6,,02/03/2021,61.1,,02/03/2021,31.58,,02/03/2021,31.7
02/04/2021,138.25,,02/04/2021,293.75,,02/04/2021,72.29,,02/04/2021,62.41,,02/04/2021,32.5,,02/04/2021,32.66
02/05/2021,137.98,,02/05/2021,293.5,,02/05/2021,73.22,,02/05/2021,62.58,,02/05/2021,32.37,,02/05/2021,32.56
02/08/2021,140.14,,02/08/2021,300.15,,02/08/2021,74.23,,02/08/2021,63.65,,02/08/2021,33.09,,02/08/2021,33.4
02/09/2021,139.58,,02/09/2021,300.46,,02/09/2021,74.24,,02/09/2021,63.12,,02/09/2021,32.95,,02/09/2021,33.26
02/10/2021,139.66,,02/10/2021,304.28,,02/10/2021,74.33,,02/10/2021,63.62,,02/10/2021,32.98,,02/10/2021,33.2
02/11/2021,139.27,,02/11/2021,302.32,,02/11/2021,73.72,,02/11/2021,63.2,,02/11/2021,32.88,,02/11/2021,32.72
02/12/2021,141.25,,02/12/2021,306.32,,02/12/2021,74.61,,02/12/2021,63.63,,02/12/2021,33.37,,02/12/2021,33.53
2/16/2021,144.65,,2/16/2021,311.96,,2/16/2021,76.05,,2/16/2021,64.12,,2/16/2021,34.27,,2/16/2021,34.79
2/17/2021,145.1,,2/17/2021,312.74,,2/17/2021,75.45,,2/17/2021,64.76,,2/17/2021,34.41,,2/17/2021,36.59
2/18/2021,145.59,,2/18/2021,309.9,,2/18/2021,74.83,,2/18/2021,63.48,,2/18/2021,34.19,,2/18/2021,36.96
2/19/2021,148.02,,2/19/2021,315.62,,2/19/2021,76,,2/19/2021,65.78,,2/19/2021,34.54,,2/19/2021,37.83
2/22/2021,149.41,,2/22/2021,316.87,,2/22/2021,77.4,,2/22/2021,65.52,,2/22/2021,35.15,,2/22/2021,37.26
2/23/2021,150.61,,2/23/2021,319.21,,2/23/2021,77.5,,2/23/2021,66.74,,2/23/2021,35.52,,2/23/2021,37.14
2/24/2021,153.26,,2/24/2021,330.64,,2/24/2021,79.88,,2/24/2021,68.6,,2/24/2021,36.38,,2/24/2021,38.29
2/25/2021,151.18,,2/25/2021,327.76,,2/25/2021,78.43,,2/25/2021,67.41,,2/25/2021,35.93,,2/25/2021,37.56
2/26/2021,147.17,,2/26/2021,319.48,,2/26/2021,76.87,,2/26/2021,65.88,,2/26/2021,34.71,,2/26/2021,36.17
03/01/2021,150.5,,03/01/2021,329.92,,03/01/2021,79.16,,03/01/2021,69.54,,03/01/2021,35.79,,03/01/2021,37.09
03/02/2021,150.01,,03/02/2021,330.94,,03/02/2021,80.79,,03/02/2021,68.91,,03/02/2021,35.53,,03/02/2021,37.14
03/03/2021,152.91,,03/03/2021,334.43,,03/03/2021,82.06,,03/03/2021,70.38,,03/03/2021,36.42,,03/03/2021,37.69
03/04/2021,150.56,,03/04/2021,329.29,,03/04/2021,81.11,,03/04/2021,69.81,,03/04/2021,36.5,,03/04/2021,37.16
03/05/2021,150.91,,03/05/2021,327.37,,03/05/2021,80.87,,03/05/2021,70.23,,03/05/2021,36.93,,03/05/2021,37.43
03/08/2021,152.91,,03/08/2021,334.19,,03/08/2021,81.1,,03/08/2021,72.22,,03/08/2021,37.13,,03/08/2021,38.67
03/09/2021,151.83,,03/09/2021,330.59,,03/09/2021,80.85,,03/09/2021,70.99,,03/09/2021,36.32,,03/09/2021,38.13
03/10/2021,155.13,,03/10/2021,342.02,,03/10/2021,83.09,,03/10/2021,73.75,,03/10/2021,37.37,,03/10/2021,39.58
03/11/2021,154.32,,03/11/2021,342.1,,03/11/2021,83.25,,03/11/2021,73.31,,03/11/2021,37.24,,03/11/2021,38.88
03/12/2021,156.15,,03/12/2021,348.81,,03/12/2021,84.34,,03/12/2021,75.18,,03/12/2021,37.94,,03/12/2021,39.97
3/15/2021,155.37,,3/15/2021,346.05,,3/15/2021,83.86,,3/15/2021,74.22,,3/15/2021,37.75,,3/15/2021,39.7
3/16/2021,153.51,,3/16/2021,341.71,,3/16/2021,82.54,,3/16/2021,73.33,,3/16/2021,37.64,,3/16/2021,39.35
3/17/2021,155.09,,3/17/2021,344.95,,3/17/2021,83.86,,3/17/2021,73.6,,3/17/2021,37.95,,3/17/2021,39.84
3/18/2021,157.65,,3/18/2021,348,,3/18/2021,83.94,,3/18/2021,73.84,,3/18/2021,38.94,,3/18/2021,40.81
3/19/2021,155.14,,3/19/2021,344.2,,3/19/2021,82.94,,3/19/2021,73.01,,3/19/2021,38.53,,3/19/2021,39.63
3/22/2021,150.97,,3/22/2021,339.33,,3/22/2021,81.92,,3/22/2021,71.96,,3/22/2021,37.66,,3/22/2021,38.97
3/23/2021,149.46,,3/23/2021,331.77,,3/23/2021,79.12,,3/23/2021,70.91,,3/23/2021,36.9,,3/23/2021,38.24
3/24/2021,150.62,,3/24/2021,328.65,,3/24/2021,79.33,,3/24/2021,70.08,,3/24/2021,36.9,,3/24/2021,38.12
3/25/2021,152.55,,3/25/2021,330.55,,3/25/2021,80.13,,3/25/2021,71.72,,3/25/2021,37.66,,3/25/2021,39.3
3/26/2021,155.09,,3/26/2021,327.39,,3/26/2021,79.98,,3/26/2021,73.02,,3/26/2021,38.68,,3/26/2021,39.76
3/29/2021,152.68,,3/29/2021,325.73,,3/29/2021,77.88,,3/29/2021,71.58,,3/29/2021,38.31,,3/29/2021,38.44
3/30/2021,154.48,,3/30/2021,332.01,,3/30/2021,79.09,,3/30/2021,72.96,,3/30/2021,38.99,,3/30/2021,39.39
3/31/2021,152.23,,3/31/2021,327,,3/31/2021,77.66,,3/31/2021,72.75,,3/31/2021,38.69,,3/31/2021,39.07
04/01/2021,153.71,,04/01/2021,327.64,,04/01/2021,78.22,,04/01/2021,73.14,,04/01/2021,39.49,,04/01/2021,39.63
04/05/2021,153.62,,04/05/2021,323.54,,04/05/2021,78,,04/05/2021,72.75,,04/05/2021,39.8,,04/05/2021,39.48
04/06/2021,152.54,,04/06/2021,327.06,,04/06/2021,79.09,,04/06/2021,72.6,,04/06/2021,39.69,,04/06/2021,39.85
04/07/2021,154.93,,04/07/2021,326.55,,04/07/2021,79.04,,04/07/2021,72.69,,04/07/2021,40.05,,04/07/2021,39.99
04/08/2021,155.12,,04/08/2021,331.14,,04/08/2021,80.2,,04/08/2021,72.33,,04/08/2021,39.7,,04/08/2021,40.03
04/09/2021,156.28,,04/09/2021,330.81,,04/09/2021,80.72,,04/09/2021,72.42,,04/09/2021,39.99,,04/09/2021,40.5
04/12/2021,155.95,,04/12/2021,331.84,,04/12/2021,80.18,,04/12/2021,72.69,,04/12/2021,40.06,,04/12/2021,40.77
4/13/2021,154.09,,4/13/2021,327.68,,4/13/2021,79.53,,4/13/2021,72.06,,4/13/2021,39.32,,4/13/2021,39.79
4/14/2021,151.21,,4/14/2021,335.35,,4/14/2021,80.79,,4/14/2021,72.91,,4/14/2021,39.88,,4/14/2021,41.99
4/15/2021,152.17,,4/15/2021,338.55,,4/15/2021,80.82,,4/15/2021,72.54,,4/15/2021,38.74,,4/15/2021,42.24
4/16/2021,153.3,,4/16/2021,342.31,,4/16/2021,78.59,,4/16/2021,72.45,,4/16/2021,39.15,,4/16/2021,43.84
4/19/2021,152.65,,4/19/2021,343.09,,4/19/2021,80.03,,4/19/2021,72.13,,4/19/2021,39.17,,4/19/2021,43.88
4/20/2021,149.27,,4/20/2021,331.88,,4/20/2021,77.29,,4/20/2021,69.79,,4/20/2021,38.08,,4/20/2021,42.54
4/21/2021,150.54,,4/21/2021,335.27,,4/21/2021,79.25,,4/21/2021,70.65,,4/21/2021,38.72,,4/21/2021,43.24
4/22/2021,147.37,,4/22/2021,330.85,,4/22/2021,78.29,,4/22/2021,69.81,,4/22/2021,38.36,,4/22/2021,42.7
4/23/2021,150.19,,4/23/2021,339.35,,4/23/2021,80.95,,4/23/2021,71.38,,4/23/2021,39.18,,4/23/2021,43.86
4/26/2021,150.56,,4/26/2021,343.52,,4/26/2021,81.52,,4/26/2021,72.2,,4/26/2021,39.41,,4/26/2021,44.14
4/27/2021,151.25,,4/27/2021,346.63,,4/27/2021,81.96,,4/27/2021,72.99,,4/27/2021,39.88,,4/27/2021,45.09
4/28/2021,152.23,,4/28/2021,348.11,,4/28/2021,82.73,,4/28/2021,72.91,,4/28/2021,40.03,,4/28/2021,45.08
4/29/2021,155.19,,4/29/2021,352.97,,4/29/2021,83.64,,4/29/2021,73.84,,4/29/2021,41.11,,4/29/2021,46.24
4/30/2021,153.81,,4/30/2021,348.45,,4/30/2021,82.55,,4/30/2021,71.24,,4/30/2021,40.53,,4/30/2021,45.05
05/03/2021,153.36,,05/03/2021,350.16,,05/03/2021,82.46,,05/03/2021,71.71,,05/03/2021,40.56,,05/03/2021,45.48
05/04/2021,155.48,,05/04/2021,349.84,,05/04/2021,82.64,,05/04/2021,72.33,,05/04/2021,41,,05/04/2021,45.74
05/05/2021,157.52,,05/05/2021,357.62,,05/05/2021,84.51,,05/05/2021,73.71,,05/05/2021,41.39,,05/05/2021,45.94
05/06/2021,160.69,,05/06/2021,365.97,,05/06/2021,86.83,,05/06/2021,74.78,,05/06/2021,42.01,,05/06/2021,46.63
05/07/2021,161.24,,05/07/2021,370.89,,05/07/2021,87.7,,05/07/2021,75.08,,05/07/2021,42.18,,05/07/2021,46.54
05/10/2021,161.22,,05/10/2021,368.68,,05/10/2021,86.47,,05/10/2021,75.13,,05/10/2021,42.05,,05/10/2021,46.6
05/11/2021,158.54,,05/11/2021,359.92,,05/11/2021,84.92,,05/11/2021,74.87,,05/11/2021,41.57,,05/11/2021,45.72
05/12/2021,157.45,,05/12/2021,354.4,,05/12/2021,83.68,,05/12/2021,74.23,,05/12/2021,41.18,,05/12/2021,45.64
5/13/2021,161.5,,5/13/2021,358.81,,5/13/2021,84.86,,5/13/2021,75.29,,5/13/2021,41.84,,5/13/2021,46.4
5/14/2021,164.01,,5/14/2021,368.77,,5/14/2021,87.35,,5/14/2021,76.56,,5/14/2021,42.36,,5/14/2021,46.96
5/17/2021,164.67,,5/17/2021,369.25,,5/17/2021,88.09,,5/17/2021,77.42,,5/17/2021,42.74,,5/17/2021,47.9
5/18/2021,162.35,,5/18/2021,364.56,,5/18/2021,86.97,,5/18/2021,76.62,,5/18/2021,42.16,,5/18/2021,46.86
5/19/2021,161.11,,5/19/2021,358.38,,5/19/2021,86.05,,5/19/2021,76.46,,5/19/2021,41.97,,5/19/2021,46.17
5/20/2021,160.83,,5/20/2021,359.78,,5/20/2021,86.47,,5/20/2021,76.2,,5/20/2021,41.87,,5/20/2021,45.73
5/21/2021,162.66,,5/21/2021,366.26,,5/21/2021,88.34,,5/21/2021,77.65,,5/21/2021,42.4,,5/21/2021,45.88
5/24/2021,163.54,,5/24/2021,368.29,,5/24/2021,89.69,,5/24/2021,78.03,,5/24/2021,42.63,,5/24/2021,46.24
5/25/2021,161.85,,5/25/2021,364.51,,5/25/2021,88.86,,5/25/2021,77.28,,5/25/2021,42.01,,5/25/2021,46.09
5/26/2021,161.83,,5/26/2021,367.4,,5/26/2021,89.35,,5/26/2021,77.52,,5/26/2021,42.04,,5/26/2021,46.4
5/27/2021,164.35,,5/27/2021,371.37,,5/27/2021,90.3,,5/27/2021,78.76,,5/27/2021,42.55,,5/27/2021,46.76
5/28/2021,164.24,,5/28/2021,372.02,,5/28/2021,90.95,,5/28/2021,78.71,,5/28/2021,42.39,,5/28/2021,46.72
06/01/2021,166.05,,06/01/2021,382.44,,06/01/2021,92.11,,06/01/2021,79.76,,06/01/2021,42.92,,06/01/2021,47.26
06/02/2021,166.06,,06/02/2021,383.44,,06/02/2021,92.76,,06/02/2021,79.86,,06/02/2021,42.94,,06/02/2021,46.81
06/03/2021,166.17,,06/03/2021,388.72,,06/03/2021,93.35,,06/03/2021,79.63,,06/03/2021,43.25,,06/03/2021,46.46
06/04/2021,166.44,,06/04/2021,391.45,,06/04/2021,93.96,,06/04/2021,79.49,,06/04/2021,43.27,,06/04/2021,46.96
06/07/2021,165.66,,06/07/2021,388.16,,06/07/2021,93.21,,06/07/2021,79.31,,06/07/2021,43.12,,06/07/2021,47.11
06/08/2021,165,,06/08/2021,384.7,,06/08/2021,92.79,,06/08/2021,79.08,,06/08/2021,42.88,,06/08/2021,46.61
06/09/2021,162.94,,06/09/2021,382.78,,06/09/2021,92.67,,06/09/2021,78.14,,06/09/2021,42.32,,06/09/2021,45.92
06/10/2021,160.4,,06/10/2021,373.94,,06/10/2021,91.68,,06/10/2021,76.89,,06/10/2021,41.69,,06/10/2021,45.09
06/11/2021,160.29,,06/11/2021,378.05,,06/11/2021,92.05,,06/11/2021,76.48,,06/11/2021,41.86,,06/11/2021,45.68
6/14/2021,157.57,,6/14/2021,372.92,,6/14/2021,90.72,,6/14/2021,75.16,,6/14/2021,41.36,,6/14/2021,45.15
6/15/2021,155.18,,6/15/2021,371.3,,6/15/2021,90.7,,6/15/2021,73.82,,6/15/2021,41.39,,6/15/2021,45.46
6/16/2021,156.27,,6/16/2021,371,,6/16/2021,91.1,,6/16/2021,71.46,,6/16/2021,41.62,,6/16/2021,45.57
6/17/2021,151.76,,6/17/2021,361.5,,6/17/2021,87.91,,6/17/2021,68.86,,6/17/2021,39.8,,6/17/2021,42.79
6/18/2021,147.92,,6/18/2021,348.83,,6/18/2021,84.09,,6/18/2021,67.61,,6/18/2021,38.78,,6/18/2021,41.75
6/21/2021,150.43,,6/21/2021,357.54,,6/21/2021,85.94,,6/21/2021,68.45,,6/21/2021,39.75,,6/21/2021,43.28
6/22/2021,150.21,,6/22/2021,357.53,,6/22/2021,85.7,,6/22/2021,68.96,,6/22/2021,39.97,,6/22/2021,43.54
6/23/2021,151.12,,6/23/2021,361.05,,6/23/2021,85.87,,6/23/2021,69.65,,6/23/2021,40.2,,6/23/2021,43.96
6/24/2021,152.51,,6/24/2021,368.75,,6/24/2021,87.08,,6/24/2021,71.32,,6/24/2021,40.83,,6/24/2021,45.18
6/25/2021,154.05,,6/25/2021,368.77,,6/25/2021,88.4,,6/25/2021,71.55,,6/25/2021,41.62,,6/25/2021,46.38
6/28/2021,154.33,,6/28/2021,368.71,,6/28/2021,87.7,,6/28/2021,71.51,,6/28/2021,41.56,,6/28/2021,45.79
6/29/2021,154.14,,6/29/2021,372.62,,6/29/2021,90.64,,6/29/2021,69.68,,6/29/2021,40.89,,6/29/2021,44.79
6/30/2021,155.54,,6/30/2021,379.53,,6/30/2021,91.69,,6/30/2021,70.75,,6/30/2021,41.23,,6/30/2021,45.29
07/01/2021,157.08,,07/01/2021,374.99,,07/01/2021,92.02,,07/01/2021,71.01,,07/01/2021,41.54,,07/01/2021,45.41
07/02/2021,156.03,,07/02/2021,374.16,,07/02/2021,92.03,,07/02/2021,70.41,,07/02/2021,41.15,,07/02/2021,45.07
07/06/2021,153.41,,07/06/2021,369.86,,07/06/2021,90.21,,07/06/2021,68.21,,07/06/2021,40.07,,07/06/2021,43.49
07/07/2021,153.59,,07/07/2021,367.67,,07/07/2021,90.03,,07/07/2021,67.93,,07/07/2021,39.75,,07/07/2021,43.4
